blocker_id,team_id,category,rule_1_recurs_3_sprints,rule_2_cross_team_pattern,rule_3_duration_gt_5days,rule_4_external_dependency,rules_triggered_count,final_classification,explainable_reason
BLK-1001,TEAM-GAMMA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1002,TEAM-BETA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1003,TEAM-GAMMA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1004,TEAM-GAMMA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1005,TEAM-ALPHA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1006,TEAM-ALPHA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1007,TEAM-BETA,Cross-Team Dependency,False,False,False,True,1,Transient,Met 1/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1008,TEAM-ALPHA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1009,TEAM-GAMMA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1010,TEAM-ALPHA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1011,TEAM-GAMMA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1012,TEAM-GAMMA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1013,TEAM-BETA,Cross-Team Dependency,False,False,False,True,1,Transient,Met 1/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1014,TEAM-BETA,Environment & Access,True,False,True,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1015,TEAM-ALPHA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1016,TEAM-ALPHA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1017,TEAM-GAMMA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1018,TEAM-ALPHA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1019,TEAM-BETA,Process & Approval,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1020,TEAM-GAMMA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1021,TEAM-GAMMA,Process & Approval,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1022,TEAM-ALPHA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1023,TEAM-GAMMA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1024,TEAM-ALPHA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1025,TEAM-ALPHA,Process & Approval,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1026,TEAM-ALPHA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1027,TEAM-ALPHA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1028,TEAM-ALPHA,Environment & Access,True,True,True,True,4,Systemic,Met 4/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1029,TEAM-ALPHA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1030,TEAM-BETA,Cross-Team Dependency,False,False,False,True,1,Transient,Met 1/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1031,TEAM-GAMMA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1032,TEAM-GAMMA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1033,TEAM-GAMMA,Process & Approval,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1034,TEAM-BETA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1035,TEAM-BETA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1036,TEAM-ALPHA,Environment & Access,True,True,False,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1037,TEAM-BETA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1038,TEAM-ALPHA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1039,TEAM-ALPHA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1040,TEAM-ALPHA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1041,TEAM-GAMMA,Cross-Team Dependency,False,True,False,True,2,Transient,Met 2/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1042,TEAM-GAMMA,PTO / Outage,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1043,TEAM-BETA,CI/CD & Pipeline,False,False,False,False,0,Transient,Met 0/4 criteria. Transient isolated impediment with quick turnaround.
BLK-1044,TEAM-BETA,Environment & Access,True,False,True,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
BLK-1045,TEAM-BETA,Environment & Access,True,False,True,True,3,Systemic,Met 3/4 criteria. Triggers systemic alert due to recurring 'Environment & Access' issue.
